Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3,Nume 4,Hartă 4,Limbă 4
Chicra Cucului,cuc,2,46.5076192937127,22.7894233201696,Alba,Înălțime,12553,Chicra Cucului,PDT,Limba română
Arcaciu Cucului,cuc,2,45.984756765179,27.974937882269,Galati,Altele,710,Arcaciu Cucului,Geomil 25000,Limba română,Arcaciu Cucului,PDT,Limba română
Poiana Cucului,cuc,2,46.0087899625364,27.8924545447057,Galati,Poiană,711,Poiana Cucului,Geomil 25000,Limba română
Valea Cucului,cuc,2,44.1118872237639,26.1112483755056,Giurgiu,Vale,3150,Valea Cucului,Geomil 25000,Limba română
Culmea Cucului,cuc,2,44.6477776035651,23.3626265555323,Gorj,Înălțime,414,Culmea Cucului,Geomil 25000,Limba română
Dealu Cucului,cuc,2,44.7230671711987,23.1604468109699,Gorj,Deal,10699,Dealu Cucului,Geomil 25000,Limba română
Dealul Cucilor,cuc,2,44.8197789496542,23.6841271581731,Gorj,Deal,10695,Dealul Cucilor,Geomil 25000,Limba română
Dealul Cucului,cuc,2,44.6475802273911,23.380888000459,Gorj,Deal,413,Dealul Cucului,Geomil 25000,Limba română
Malul Cucului,cuc,2,45.2778318666723,25.1091553345944,Harghita,Altele,1478,Malul Cucului,Geomil 25000,Limba română,Malul Cucului,PDT,Limba română
Dealul Cucului,cuc,2,45.9245898285286,22.4199915309711,Hunedoara,Deal,6205,Dealul Cucului,PDT,Limba română
Dealul Cucului,cuc,2,45.9500343384966,22.9179290281534,Hunedoara,Deal,9010,Dealul Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,47.0747044203318,27.474162194522,Iasi,Deal,8894,Dealul Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,47.4394519322313,23.5552327995112,Maramures,Deal,8238,Dealul Cucului,PDT,Limba română
V. Cucului,cuc,2,47.5318414311572,23.6814054421242,Maramures,Vale,10258,V. Cucului,Ungară 1869,Limba română
Valea Cucului,cuc,2,47.4740785918899,23.0435215288062,Maramures,Vale,4408,Valea Cucului,Geomil 25000,Limba română
Dealu Cucilor,cuc,2,44.7136511012142,22.9549289464797,Mehedinti,Deal,420,Dealu Cucilor,Geomil 25000,Limba română
Dealu Cucului,cuc,2,44.6575361223947,22.8365948016534,Mehedinti,Deal,181,Dealu Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,44.5414790290846,22.8483732118023,Mehedinti,Deal,8075,Dealul Cucului,PDT,Limba română
Gura Cucului,cuc,2,44.4504896513166,23.1037657629581,Mehedinti,Altele,137,Gura Cucului,Geomil 25000,Limba română
Valea Cuculești,cuc,2,44.4487139059354,23.1564067485154,Mehedinti,Vale,135,Valea Cucului,PDT,Limba română,Valea Cuculești,Geomil 25000,Limba română
Valea Cucului,cuc,2,44.6610254289326,22.902062041696,Mehedinti,Vale,12468,Valea Cucului,ANCPI,Limba română
Culmea Cucului,cuc,2,46.5524294251548,25.1906412872806,Mures,Înălțime,12555,Culmea Cucului,Geomil 25000,Limba română
Dealul cu Cuc,cuc,2,46.3368211173484,24.6812817836673,Mures,Deal,8659,Dealul cu Cuc,Geomil 25000,Limba română
Dealul Cucului,cuc,2,46.6644063469407,24.5267259854304,Mures,Deal,5385,Dealul Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,46.4329496639059,24.5220936879454,Mures,Deal,7336,Dealul Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,46.5437380306939,24.2542621828885,Mures,Deal,9050,Dealul Cucului,Geomil 25000,Limba română
Bâtca Cucului,cuc,2,47.1623770446167,26.0912547153057,Neamt,Înălțime,2057,Bâtca Cucului,Geomil 25000,Limba română
Balta Cucului,cuc,2,44.442932670353,24.0800532197128,Olt,Apă-deal-câmpie,276,Balta Cucului,Geomil 25000,Limba română,Balta Cucului,PDT,Limba română
Grindul Cucului,cuc,2,43.7111614478914,24.1687021613174,Olt,Apă-deal-câmpie,3328,Grindul Cucului,Geomil 25000,Limba română,Grindul Cucului,PDT,Limba română
Poiana Cucului,cuc,2,44.7137107373649,24.4670685551902,Olt,Poiană,8124,Poiana Cucului,PDT,Limba română
Dealul Cucului,cuc,2,45.4759252762682,25.9413518743819,Prahova,Deal,801,Dealul Cucului,Geomil 25000,Limba română
Poiana Cucului,cuc,2,44.9972192627433,26.1571425756118,Prahova,Poiană,22,Poiana Cucului,PDT,Limba română
Valea Cucului,cuc,2,45.0635546072519,26.2258988190976,Prahova,Localitate,25,Valea Cucului,Geomil 25000,Limba română,Valea Cucului,PDT,Limba română,Валя-Кукулуй (Valea Cucului),Sovietică,Limba română,Valea Kukole,Austriacă,Limba română
Valea Unghiul Cucului,cuc,2,45.2811899004715,26.0875491822384,Prahova,Vale,815,Valea Unghiul Cucului,Geomil 25000,Limba română
Dealu Cucului,cuc,2,47.1373519374785,23.2610632711385,Salaj,Deal,1058,Dealu Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,47.2221263567848,22.7334124696051,Salaj,Deal,8188,Dealul Cucului,PDT,Limba română
Vârfu Cucului,cuc,2,47.2222298643535,23.3053081188534,Salaj,Înălțime,5938,Vârfu Cucului,Geomil 25000,Limba română
Fântâna Cucului,cuc,2,47.6998312314315,22.83802490029,Satu Mare,Altele,5951,Fântâna Cucului,Geomil 25000,Limba română
La Moara Cucului,cuc,2,47.7898988517057,23.2193381956901,Satu Mare,Altele,2599,La Moara Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,45.8120537120335,24.0816793064843,Sibiu,Deal,2522,Dealul Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,45.9392771807121,24.1645980116205,Sibiu,Deal,7988,Dealul Cucului,PDT,Limba română
Dealul Cucului,cuc,2,45.7186242929384,24.1329801646597,Sibiu,Deal,8585,Dealul Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,45.8196027568741,24.2210566970446,Sibiu,Deal,8595,Dealul Cucului,PDT,Limba română
La Fântâna Cucului,cuc,2,45.972554876435,24.4434666579423,Sibiu,Altele,2645,La Fântâna Cucului,Geomil 25000,Limba română
Pădurea Cucului,cuc,2,46.2207276491853,24.4567669194876,Sibiu,Pădure,1904,Pădurea Cucului,Geomil 25000,Limba română
Bâtca Cucului,cuc,2,47.4284205142763,25.9852342923278,Suceava,Înălțime,9071,Bâtca Cucului,PDT,Limba română
Cucul,cuc,2,47.1098724625017,25.562735117973,Suceava,Vale,13411,Cucul,Geomil 25000,Limba română
Ogașu Cucului,cuc,2,45.6492785042071,22.0982335798254,Timis,Vale,6072,Ogașu Cucului,Geomil 25000,Limba română
Valea Cucului,cuc,2,45.7854978612761,22.5126027747007,Timis,Vale,6175,Valea Cucului,Geomil 25000,Limba română
Piscu Cucului,cuc,2,44.7420219972859,24.1438053649096,Valcea,Înălțime,372,Piscu Cucului,Geomil 25000,Limba română
Valea Cucului,cuc,2,44.6000487025448,23.9417778869236,Valcea,Vale,263,Valea Cucului,Geomil 25000,Limba română
Cucul,cuc,2,46.4656845889239,28.2174023444029,Vaslui,Altele,10922,Cucul,Geomil 25000,Limba română
Dealul Cucului,cuc,2,46.7663063430271,27.2825017699968,Vaslui,Deal,7291,Dealul Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,46.3228258085481,28.1318750533807,Vaslui,Deal,10920,Dealul Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,45.677959714933,27.0100829897589,Vrancea,Deal,2141,Dealul Cucului,Geomil 25000,Limba română,Dealul Cucului,Austriacă,Limba română
Dealul Cucului,cuc,2,45.6732185485454,26.9867643519039,Vrancea,Deal,2143,Dealul Cucului,Geomil 25000,Limba română
